year,team,player,position_raw,position_primary_code,position_primary_label,salary_usd,war,position_code,position_label,n_positions,salary_split,war_split
2025,NYM,Juan Soto,rf,rf,RF,61875000,5.8,rf,RF,1,61875000,5.8
2025,PHI,Zack Wheeler,rhp,rhp,RHP,42000000,4,rhp,RHP,2,21000000,2
2025,PHI,Zack Wheeler,s,rhp,RHP,42000000,4,s,SS,2,21000000,2
2025,TEX,Jacob deGrom,rhp,rhp,RHP,40000000,3.4,rhp,RHP,2,20000000,1.7
2025,TEX,Jacob deGrom,s,rhp,RHP,40000000,3.4,s,SS,2,20000000,1.7
2025,NYY,Aaron Judge,rf,rf,RF,40000000,10.1,rf,RF,2,20000000,5.05
2025,NYY,Aaron Judge,dh,rf,RF,40000000,10.1,dh,DH,2,20000000,5.05
2025,NA,Anthony Rendon,3b,3b,3B,38571429,NA,3b,3B,1,38571429,NA
2025,MIN,Carlos Correa,ss,ss,SS,37333333,2.6,ss,SS,1,37333333,2.6
2025,LAA,Mike Trout,cf,cf,CF,37116667,1.8,cf,CF,1,37116667,1.8
2025,NA,Gerrit Cole,rhp,rhp,RHP,36000000,NA,rhp,RHP,2,18000000,NA
2025,NA,Gerrit Cole,s,rhp,RHP,36000000,NA,s,SS,2,18000000,NA
2025,HOU,Jose Altuve,2b,2b,2B,33000000,2.1,2b,2B,2,16500000,1.05
2025,HOU,Jose Altuve,lf,2b,2B,33000000,2.1,lf,LF,2,16500000,1.05
2025,TEX,Corey Seager,ss,ss,SS,32500000,4,ss,SS,1,32500000,4
2025,LAD,Tyler Glasnow,rhp,rhp,RHP,32500000,1.6,rhp,RHP,2,16250000,0.8
2025,LAD,Tyler Glasnow,s,rhp,RHP,32500000,1.6,s,SS,2,16250000,0.8
2025,NYM,Francisco Lindor,ss,ss,SS,32477821,6.3,ss,SS,1,32477821,6.3
2025,NYY,Giancarlo Stanton,dh,dh,DH,32000000,1.9,dh,DH,2,16000000,0.95
2025,NYY,Giancarlo Stanton,rf,dh,DH,32000000,1.9,rf,RF,2,16000000,0.95
2025,ARI,Corbin Burnes,rhp,rhp,RHP,30962673,0.7,rhp,RHP,2,15481336.5,0.35
2025,ARI,Corbin Burnes,s,rhp,RHP,30962673,0.7,s,SS,2,15481336.5,0.35
2025,NYM,Pete Alonso,1b,1b,1B,30000000,3.6,1b,1B,1,30000000,3.6
2025,STL,Nolan Arenado,3b,3b,3B,29534148,0.9,3b,3B,1,29534148,0.9
2025,TOR,Vladimir Guerrero Jr.,1b,1b,1B,28500000,3.9,1b,1B,1,28500000,3.9
2025,LAD,Shohei Ohtani,dh,dh,DH,28216944,9.4,dh,DH,2,14108472,4.7
2025,LAD,Shohei Ohtani,rhp,dh,DH,28216944,9.4,rhp,RHP,2,14108472,4.7
2025,CHC,Dansby Swanson,ss,ss,SS,28000000,3.3,ss,SS,1,28000000,3.3
2025,NYY,Carlos Rodón,lhp,lhp,LHP,27833333,3.2,lhp,LHP,2,13916666.5,1.6
2025,NYY,Carlos Rodón,s,lhp,LHP,27833333,3.2,s,SS,2,13916666.5,1.6
2025,NYY,Cody Bellinger,cf,cf,CF,27500000,4.9,cf,CF,1,27500000,4.9
2025,PHI,Trea Turner,ss,ss,SS,27272727,6.7,ss,SS,1,27272727,6.7
2025,BOS,Rafael Devers,dh,dh,DH,27066581,3.3,dh,DH,2,13533290.5,1.65
2025,BOS,Rafael Devers,3b,dh,DH,27066581,3.3,3b,3B,2,13533290.5,1.65
2025,COL,Kris Bryant,rf,rf,RF,27000000,-0.5,rf,RF,1,27000000,-0.5
2025,LAD,Blake Snell,lhp,lhp,LHP,26825953,1.9,lhp,LHP,2,13412976.5,0.95
2025,LAD,Blake Snell,s,lhp,LHP,26825953,1.9,s,SS,2,13412976.5,0.95
2025,PHI,Bryce Harper,rf,rf,RF,26538462,3.5,rf,RF,2,13269231,1.75
2025,PHI,Bryce Harper,1b,rf,RF,26538462,3.5,1b,1B,2,13269231,1.75
2025,LAD,Mookie Betts,ss,ss,SS,26173581,3.4,ss,SS,1,26173581,3.4
2025,TEX,Marcus Semien,2b,2b,2B,26000000,2.1,2b,2B,1,26000000,2.1
2025,BOS,Alex Bregman,3b,3b,3B,25944644,3.5,3b,3B,1,25944644,3.5
2025,SDP,Xander Bogaerts,ss,ss,SS,25454545,3.2,ss,SS,1,25454545,3.2
2025,SFG,Matt Chapman,3b,3b,3B,25166667,3.7,3b,3B,1,25166667,3.7
2025,STL,Sonny Gray,rhp,rhp,RHP,25000000,3.6,rhp,RHP,2,12500000,1.8
2025,STL,Sonny Gray,s,rhp,RHP,25000000,3.6,s,SS,2,12500000,1.8
2025,SFG,Robbie Ray,lhp,lhp,LHP,25000000,2.2,lhp,LHP,2,12500000,1.1
2025,SFG,Robbie Ray,s,lhp,LHP,25000000,2.2,s,SS,2,12500000,1.1
2025,DET,Javier Báez,ss,ss,SS,25000000,1.4,ss,SS,1,25000000,1.4
2025,DET,Jack Flaherty,rhp,rhp,RHP,25000000,2.5,rhp,RHP,2,12500000,1.25
2025,DET,Jack Flaherty,s,rhp,RHP,25000000,2.5,s,SS,2,12500000,1.25
2025,PHI,Aaron Nola,rhp,rhp,RHP,24571429,0.9,rhp,RHP,2,12285714.5,0.45
2025,PHI,Aaron Nola,s,rhp,RHP,24571429,0.9,s,SS,2,12285714.5,0.45
2025,TOR,George Springer,rf,rf,RF,24166667,5.2,rf,RF,1,24166667,5.2
2025,SEA,Luis Castillo,rhp,rhp,RHP,24150000,2.6,rhp,RHP,2,12075000,1.3
2025,SEA,Luis Castillo,s,rhp,RHP,24150000,2.6,s,SS,2,12075000,1.3
2025,MIL,Christian Yelich,lf,lf,LF,24093136,2.4,lf,LF,1,24093136,2.4
2025,PHI,J.T. Realmuto,c,c,C,23875000,2.1,c,C,1,23875000,2.1
2025,TOR,Kevin Gausman,rhp,rhp,RHP,23000000,4.1,rhp,RHP,2,11500000,2.05
2025,TOR,Kevin Gausman,s,rhp,RHP,23000000,4.1,s,SS,2,11500000,2.05
2025,LAD,Freddie Freeman,1b,1b,1B,22704674,3.9,1b,1B,1,22704674,3.9
2025,BOS,Trevor Story,2b,2b,2B,22500000,3,2b,2B,1,22500000,3
2025,NA,Jordan Montgomery,lhp,lhp,LHP,22500000,NA,lhp,LHP,2,11250000,NA
2025,NA,Jordan Montgomery,s,lhp,LHP,22500000,NA,s,SS,2,11250000,NA
2025,ATL,Chris Sale,lhp,lhp,LHP,22000000,3.6,lhp,LHP,2,11000000,1.8
2025,ATL,Chris Sale,s,lhp,LHP,22000000,3.6,s,SS,2,11000000,1.8
2025,TEX,Nathan Eovaldi,rhp,rhp,RHP,22000000,3.7,rhp,RHP,2,11000000,1.85
2025,TEX,Nathan Eovaldi,s,rhp,RHP,22000000,3.7,s,SS,2,11000000,1.85
2025,TOR,Chris Bassitt,rhp,rhp,RHP,22000000,2.4,rhp,RHP,2,11000000,1.2
2025,TOR,Chris Bassitt,s,rhp,RHP,22000000,2.4,s,SS,2,11000000,1.2
2025,ATL,Matt Olson,1b,1b,1B,22000000,4.7,1b,1B,1,22000000,4.7
2025,ATL,Austin Riley,3b,3b,3B,22000000,1.7,3b,3B,1,22000000,1.7
2025,KCR,Salvador Perez,c,c,C,21849112,0.5,c,C,1,21849112,0.5
2025,MIN,Pablo López,rhp,rhp,RHP,21750000,1.8,rhp,RHP,2,10875000,0.9
2025,MIN,Pablo López,s,rhp,RHP,21750000,1.8,s,SS,2,10875000,0.9
2025,LAA,Yusei Kikuchi,lhp,lhp,LHP,21225000,2.5,lhp,LHP,2,10612500,1.25
2025,LAA,Yusei Kikuchi,s,lhp,LHP,21225000,2.5,s,SS,2,10612500,1.25
2025,CIN,Nick Martinez,rhp,rhp,RHP,21050000,2.1,rhp,RHP,2,10525000,1.05
2025,CIN,Nick Martinez,s,rhp,RHP,21050000,2.1,s,SS,2,10525000,1.05
2025,SDP,Yu Darvish,rhp,rhp,RHP,21000000,0.4,rhp,RHP,2,10500000,0.2
2025,SDP,Yu Darvish,s,rhp,RHP,21000000,0.4,s,SS,2,10500000,0.2
2025,CHC,Ian Happ,lf,lf,LF,21000000,2.8,lf,LF,1,21000000,2.8
2025,NYM,Starling Marte,dh,dh,DH,20750000,0.7,dh,DH,2,10375000,0.35
2025,NYM,Starling Marte,rf,dh,DH,20750000,0.7,rf,RF,2,10375000,0.35
2025,SDP,Fernando Tatis Jr.,rf,rf,RF,20714286,6.1,rf,RF,1,20714286,6.1
2025,NYM,Brandon Nimmo,lf,lf,LF,20500000,3,lf,LF,1,20500000,3
2025,NYM,Sean Manaea,lhp,lhp,LHP,20212526,0.4,lhp,LHP,2,10106263,0.2
2025,NYM,Sean Manaea,s,lhp,LHP,20212526,0.4,s,SS,2,10106263,0.2
2025,SEA,Julio Rodríguez,cf,cf,CF,20185714,5.7,cf,CF,1,20185714,5.7
2025,PHI,Nick Castellanos,dh,dh,DH,20000000,-0.6,dh,DH,2,10000000,-0.3
2025,PHI,Nick Castellanos,of,dh,DH,20000000,-0.6,of,OF,2,10000000,-0.3
2025,PHI,Kyle Schwarber,lf,lf,LF,20000000,4.9,lf,LF,2,10000000,2.45
2025,PHI,Kyle Schwarber,dh,lf,LF,20000000,4.9,dh,DH,2,10000000,2.45
2025,ARI,Eduardo Rodriguez,lhp,lhp,LHP,20000000,1.3,lhp,LHP,2,10000000,0.65
2025,ARI,Eduardo Rodriguez,s,lhp,LHP,20000000,1.3,s,SS,2,10000000,0.65
2025,ATH,Luis Severino,rhp,rhp,RHP,20000000,2.5,rhp,RHP,2,10000000,1.25
2025,ATH,Luis Severino,s,rhp,RHP,20000000,2.5,s,SS,2,10000000,1.25
2025,NA,Joe Musgrove,rhp,rhp,RHP,20000000,NA,rhp,RHP,2,10000000,NA
2025,NA,Joe Musgrove,s,rhp,RHP,20000000,NA,s,SS,2,10000000,NA
2025,HOU,Christian Walker,1b,1b,1B,20000000,1.1,1b,1B,1,20000000,1.1
2025,CLE,José Ramírez,3b,3b,3B,19000000,6.3,3b,3B,1,19000000,6.3
2025,NA,José O. Berríos,rhp,rhp,RHP,19000000,NA,rhp,RHP,2,9500000,NA
2025,NA,José O. Berríos,s,rhp,RHP,19000000,NA,s,SS,2,9500000,NA
2025,HOU,Josh Hader,lhp,lhp,LHP,19000000,1.1,lhp,LHP,2,9500000,0.55
2025,HOU,Josh Hader,c,lhp,LHP,19000000,1.1,c,C,2,9500000,0.55
2025,BOS,Lucas Giolito,rhp,rhp,RHP,19000000,2,rhp,RHP,2,9500000,1
2025,BOS,Lucas Giolito,s,rhp,RHP,19000000,2,s,SS,2,9500000,1
2025,CHC,Seiya Suzuki,dh,dh,DH,19000000,2.6,dh,DH,2,9500000,1.3
2025,CHC,Seiya Suzuki,rf,dh,DH,19000000,2.6,rf,RF,2,9500000,1.3
2025,BOS,Masataka Yoshida,lf,lf,LF,18600000,-0.1,lf,LF,1,18600000,-0.1
2025,TEX,Joc Pederson,lf,lf,LF,18500000,-0.8,lf,LF,1,18500000,-0.8
2025,NYY,Marcus Stroman,rhp,rhp,RHP,18500000,0.1,rhp,RHP,2,9250000,0.05
2025,NYY,Marcus Stroman,s,rhp,RHP,18500000,0.1,s,SS,2,9250000,0.05
2025,NYM,Edwin Díaz,rhp,rhp,RHP,18331373,2,rhp,RHP,2,9165686.5,1
2025,NYM,Edwin Díaz,c,rhp,RHP,18331373,2,c,C,2,9165686.5,1
2025,BOS,Walker Buehler,rhp,rhp,RHP,18050000,-0.3,rhp,RHP,2,9025000,-0.15
2025,BOS,Walker Buehler,s,rhp,RHP,18050000,-0.3,s,SS,2,9025000,-0.15
2025,KCR,Michael Wacha,rhp,rhp,RHP,18000000,3.6,rhp,RHP,2,9000000,1.8
2025,KCR,Michael Wacha,s,rhp,RHP,18000000,3.6,s,SS,2,9000000,1.8
2025,PHI,Taijuan Walker,rhp,rhp,RHP,18000000,0.5,rhp,RHP,2,9000000,0.25
2025,PHI,Taijuan Walker,s,rhp,RHP,18000000,0.5,s,SS,2,9000000,0.25
2025,CHC,Jameson Taillon,rhp,rhp,RHP,18000000,1.1,rhp,RHP,2,9000000,0.55
2025,CHC,Jameson Taillon,s,rhp,RHP,18000000,1.1,s,SS,2,9000000,0.55
2025,STL,Willson Contreras,1b,1b,1B,18000000,2.8,1b,1B,2,9000000,1.4
2025,STL,Willson Contreras,dh,1b,1B,18000000,2.8,dh,DH,2,9000000,1.4
2025,BAL,Zach Eflin,rhp,rhp,RHP,18000000,-0.3,rhp,RHP,2,9000000,-0.15
2025,BAL,Zach Eflin,s,rhp,RHP,18000000,-0.3,s,SS,2,9000000,-0.15
2025,MIL,Rhys Hoskins,1b,1b,1B,18000000,0.9,1b,1B,1,18000000,0.9
2025,HOU,Framber Valdez,lhp,lhp,LHP,18000000,4,lhp,LHP,2,9000000,2
2025,HOU,Framber Valdez,s,lhp,LHP,18000000,4,s,SS,2,9000000,2
2025,HOU,Lance McCullers Jr.,rhp,rhp,RHP,17700000,-0.2,rhp,RHP,2,8850000,-0.1
2025,HOU,Lance McCullers Jr.,s,rhp,RHP,17700000,-0.2,s,SS,2,8850000,-0.1
