Player,Position,salary_usd
Juan Soto,rf,"$61,875,000"
Zack Wheeler,rhp-s,"$42,000,000"
Jacob deGrom,rhp-s,"$40,000,000"
Aaron Judge,rf-dh,"$40,000,000"
Anthony Rendon,3b,"$38,571,429"
Carlos Correa,ss,"$37,333,333"
Mike Trout,cf,"$37,116,667"
Gerrit Cole,rhp-s,"$36,000,000"
Jose Altuve,2b-lf,"$33,000,000"
Corey Seager,ss,"$32,500,000"
Tyler Glasnow,rhp-s,"$32,500,000"
Francisco Lindor,ss,"$32,477,821"
Giancarlo Stanton,dh-rf,"$32,000,000"
Corbin Burnes,rhp-s,"$30,962,673"
Pete Alonso,1b,"$30,000,000"
Nolan Arenado,3b,"$29,534,148"
Vladimir Guerrero Jr.,1b,"$28,500,000"
Shohei Ohtani,dh-rhp,"$28,216,944"
Dansby Swanson,ss,"$28,000,000"
Carlos Rodón,lhp-s,"$27,833,333"
Cody Bellinger,cf,"$27,500,000"
Trea Turner,ss,"$27,272,727"
Rafael Devers,dh-3b,"$27,066,581"
Kris Bryant,rf,"$27,000,000"
Blake Snell,lhp-s,"$26,825,953"
Bryce Harper,rf-1b,"$26,538,462"
Mookie Betts,ss,"$26,173,581"
Marcus Semien,2b,"$26,000,000"
Alex Bregman,3b,"$25,944,644"
Xander Bogaerts,ss,"$25,454,545"
Matt Chapman,3b,"$25,166,667"
Sonny Gray,rhp-s,"$25,000,000"
Robbie Ray,lhp-s,"$25,000,000"
Javier Báez,ss,"$25,000,000"
Jack Flaherty,rhp-s,"$25,000,000"
Aaron Nola,rhp-s,"$24,571,429"
George Springer,rf,"$24,166,667"
Luis Castillo,rhp-s,"$24,150,000"
Christian Yelich,lf,"$24,093,136"
J.T. Realmuto,c,"$23,875,000"
Kevin Gausman,rhp-s,"$23,000,000"
Freddie Freeman,1b,"$22,704,674"
Trevor Story,2b,"$22,500,000"
Jordan Montgomery,lhp-s,"$22,500,000"
Chris Sale,lhp-s,"$22,000,000"
Nathan Eovaldi,rhp-s,"$22,000,000"
Chris Bassitt,rhp-s,"$22,000,000"
Matt Olson,1b,"$22,000,000"
Austin Riley,3b,"$22,000,000"
Salvador Perez,c,"$21,849,112"
Pablo López,rhp-s,"$21,750,000"
Yusei Kikuchi,lhp-s,"$21,225,000"
Nick Martinez,rhp-s,"$21,050,000"
Yu Darvish,rhp-s,"$21,000,000"
Ian Happ,lf,"$21,000,000"
Starling Marte,dh-rf,"$20,750,000"
Fernando Tatis Jr.,rf,"$20,714,286"
Brandon Nimmo,lf,"$20,500,000"
Sean Manaea,lhp-s,"$20,212,526"
Julio Rodríguez,cf,"$20,185,714"
Nick Castellanos,dh-of,"$20,000,000"
Kyle Schwarber,lf-dh,"$20,000,000"
Eduardo Rodriguez,lhp-s,"$20,000,000"
Luis Severino,rhp-s,"$20,000,000"
Joe Musgrove,rhp-s,"$20,000,000"
Christian Walker,1b,"$20,000,000"
José Ramírez,3b,"$19,000,000"
José O. Berríos,rhp-s,"$19,000,000"
Josh Hader,lhp-c,"$19,000,000"
Lucas Giolito,rhp-s,"$19,000,000"
Seiya Suzuki,dh-rf,"$19,000,000"
Masataka Yoshida,lf,"$18,600,000"
Joc Pederson,lf,"$18,500,000"
Marcus Stroman,rhp-s,"$18,500,000"
Edwin Díaz,rhp-c,"$18,331,373"
Walker Buehler,rhp-s,"$18,050,000"
Michael Wacha,rhp-s,"$18,000,000"
Taijuan Walker,rhp-s,"$18,000,000"
Jameson Taillon,rhp-s,"$18,000,000"
Willson Contreras,1b-dh,"$18,000,000"
Zach Eflin,rhp-s,"$18,000,000"
Rhys Hoskins,1b,"$18,000,000"
Framber Valdez,lhp-s,"$18,000,000"
