Player Name,Team,War
Aaron Judge,NYY,10.1
Shohei Ohtani,LAD,9.4
Cal Raleigh,SEA,9.1
Bobby Witt Jr.,KCR,8
Geraldo Perdomo,ARI,7.1
Trea Turner,PHI,6.7
Tarik Skubal,DET,6.6
Corbin Carroll,ARI,6.5
Paul Skenes,PIT,6.5
Cristopher Sánchez,PHI,6.4
José Ramírez,CLE,6.3
Francisco Lindor,NYM,6.3
Fernando Tatis Jr.,SDP,6.1
Juan Soto,NYM,5.8
Garrett Crochet,BOS,5.8
Julio Rodríguez,SEA,5.7
Jeremy Peña,HOU,5.7
Maikel Garcia,KCR,5.6
Logan Webb,SFG,5.5
Pete Crow-Armstrong,CHC,5.4
Jesús Luzardo,PHI,5.3
George Springer,TOR,5.2
Byron Buxton,MIN,5
Yoshinobu Yamamoto,LAD,5
Kyle Schwarber,PHI,4.9
Cody Bellinger,NYY,4.9
Nico Hoerner,CHC,4.8
Max Fried,NYY,4.8
Gunnar Henderson,BAL,4.8
Matt Olson,ATL,4.7
Alejandro Kirk,TOR,4.7
Ketel Marte,ARI,4.6
Nick Kurtz,ATH,4.6
Hunter Brown,HOU,4.6
Junior Caminero,TBR,4.6
Kyle Tucker,CHC,4.5
Brice Turang,MIL,4.4
Jazz Chisholm Jr.,NYY,4.4
Elly De La Cruz,CIN,4.3
Will Smith,LAD,4.1
Kevin Gausman,TOR,4.1
Wyatt Langford,TEX,4.1
Dillon Dingler,DET,4.1
Andy Pages,LAD,4.1
Willy Adames,SFG,4
Zack Wheeler,PHI,4
Ranger Suárez,PHI,4
Framber Valdez,HOU,4
Corey Seager,TEX,4
Kyle Stowers,MIA,4
Shea Langeliers,ATH,3.9
Andrew Abbott,CIN,3.9
Jarren Duran,BOS,3.9
Freddie Freeman,LAD,3.9
Vladimir Guerrero Jr.,TOR,3.9
Bo Bichette,TOR,3.8
Ceddanne Rafaela,BOS,3.8
Eugenio Suárez,ARI,3.8
Manny Machado,SDP,3.8
Nathan Eovaldi,TEX,3.7
Matt Chapman,SFG,3.7
Nick Pivetta,SDP,3.7
William Contreras,MIL,3.6
Michael Wacha,KCR,3.6
Freddy Peralta,MIL,3.6
Bryan Woo,SEA,3.6
Chris Sale,ATL,3.6
Pete Alonso,NYM,3.6
Sal Frelick,MIL,3.6
Sonny Gray,STL,3.6
Alex Bregman,BOS,3.5
Ronald Acuña Jr.,ATL,3.5
Michael Busch,CHC,3.5
Masyn Winn,STL,3.5
Bryce Harper,PHI,3.5
Jacob Wilson,ATH,3.5
Matthew Boyd,CHC,3.4
Mookie Betts,LAD,3.4
Dylan Cease,SDP,3.4
Hunter Goodman,COL,3.4
Jacob deGrom,TEX,3.4
Tyler Soderstrom,ATH,3.4
Kris Bubic,KCR,3.3
Dansby Swanson,CHC,3.3
Rafael Devers,BOS,3.3
Trevor Rogers,BAL,3.3
James Wood,WSN,3.3
Carlos Rodón,NYY,3.2
Xander Bogaerts,SDP,3.2
Patrick Bailey,SFG,3.2
Ernie Clement,TOR,3.2
Zach Neto,LAA,3.2
Harrison Bader,MIN,3.2
Steven Kwan,CLE,3.2
Zach McKinstry,DET,3.2
Trent Grisham,NYY,3.2
Josh Naylor,ARI,3.1
David Peterson,NYM,3.1
CJ Abrams,WSN,3.1
Drake Baldwin,ATL,3.1
Joe Ryan,MIN,3.1
Merrill Kelly,ARI,3.1
Bryson Stott,PHI,3.1
Ben Rice,NYY,3
Austin Wells,NYY,3
Ryan O'Hearn,BAL,3
Jackson Merrill,SDP,3
Trevor Story,BOS,3
Brandon Nimmo,NYM,3
Ramón Laureano,BAL,3
José Soriano,LAA,3
Jackson Chourio,MIL,2.9
Taylor Ward,LAA,2.9
Max Muncy,LAD,2.9
Riley Greene,DET,2.9
Jake Cronenworth,SDP,2.9
Hunter Greene,CIN,2.9
Randy Arozarena,SEA,2.9
MacKenzie Gore,WSN,2.9
Yandy Díaz,TBR,2.9
Brady Singer,CIN,2.9
TJ Friedl,CIN,2.9
Brendan Donovan,STL,2.9
Ian Happ,CHC,2.8
Nick Lodolo,CIN,2.8
J.P. Crawford,SEA,2.8
Willson Contreras,STL,2.8
Roman Anthony,BOS,2.7
Cade Smith,CLE,2.7
Gabriel Moreno,ARI,2.7
Colson Montgomery,CHW,2.7
Iván Herrera,STL,2.7
Carlos Narváez,BOS,2.7
Caleb Durbin,MIL,2.6
Aroldis Chapman,BOS,2.6
Jorge Polanco,SEA,2.6
Luis Castillo,SEA,2.6
Carson Kelly,CHC,2.6
Carlos Correa,MIN,2.6
Isaac Collins,MIL,2.6
Seiya Suzuki,CHC,2.6
Dean Kremer,BAL,2.6
Gleyber Torres,DET,2.6
Chad Patrick,MIL,2.6
Logan Gilbert,SEA,2.6
Drew Rasmussen,TBR,2.5
Jack Flaherty,DET,2.5
Luis Severino,ATH,2.5
Janson Junk,MIA,2.5
Jonathan Aranda,TBR,2.5
Xavier Edwards,MIA,2.5
Clayton Kershaw,LAD,2.5
Isaac Paredes,HOU,2.5
Mitch Keller,PIT,2.5
Yusei Kikuchi,LAA,2.5
Kyle Freeland,COL,2.5
Christian Yelich,MIL,2.4
Chris Bassitt,TOR,2.4
Wilyer Abreu,BOS,2.4
Brandon Marsh,PHI,2.4
Jung Hoo Lee,SFG,2.4
Brent Rooker,ATH,2.4
George Kirby,SEA,2.4
Spencer Schwellenbach,ATL,2.4
Casey Mize,DET,2.4
Spencer Torkelson,DET,2.3
Mike Yastrzemski,SFG,2.3
Otto Lopez,MIA,2.3
Brett Baty,NYM,2.3
Adrian Houser,TEX,2.3
Jake Meyers,HOU,2.3
Justin Verlander,SFG,2.2
Jack Leiter,TEX,2.2
Garrett Whitlock,BOS,2.2
Adrian Morejon,SDP,2.2
Bryan Abreu,HOU,2.2
Mauricio Dubón,HOU,2.2
Daulton Varsho,TOR,2.2
Addison Barger,TOR,2.2
Shane Smith,CHW,2.2
Robbie Ray,SFG,2.2
Cade Horton,CHC,2.2
Jakob Marsee,MIA,2.2
Jose Altuve,HOU,2.1
Marcus Semien,TEX,2.1
Jhoan Duran,MIN,2.1
Jeff McNeil,NYM,2.1
Ryne Nelson,ARI,2.1
Alec Burleson,STL,2.1
Nick Martinez,CIN,2.1
Will Warren,NYY,2.1
J.T. Realmuto,PHI,2.1
Cole Ragans,KCR,2.1
Emmet Sheehan,LAD,2.1
Ryan Jeffers,MIN,2.1
David Bednar,PIT,2
Mason Miller,ATH,2
Ryan Pepiot,TBR,2
Edward Cabrera,MIA,2
Sean Murphy,ATL,2
Edwin Díaz,NYM,2
Lawrence Butler,ATH,2
Tyler Heineman,TOR,2
José Caballero,TBR,2
Shane Baz,TBR,2
Lucas Giolito,BOS,2
Ryan McMahon,COL,1.9
Giancarlo Stanton,NYY,1.9
Tyler Mahle,TEX,1.9
Brayan Bello,BOS,1.9
Robert Suarez,SDP,1.9
Clay Holmes,NYM,1.9
Andrés Muñoz,SEA,1.9
Blake Snell,LAD,1.9
Jordan Westburg,BAL,1.9
Quinn Priester,MIL,1.9
Kyle Teel,CHW,1.9
Eury Pérez,MIA,1.9
Patrick Corbin,TEX,1.9
Tanner Bibee,CLE,1.9
Colin Rea,CHC,1.9
Jake Mangum,TBR,1.8
Nathan Lukes,TOR,1.8
Francisco Alvarez,NYM,1.8
Noah Cameron,KCR,1.8
Kyle Hendricks,LAA,1.8
Pablo López,MIN,1.8
Myles Straw,TOR,1.8
Mike Trout,LAA,1.8
Matthew Liberatore,STL,1.8
Taj Bradley,TBR,1.8
Brandon Woodruff,MIL,1.8
Will Vest,DET,1.8
Josh Smith,TEX,1.8
Brandon Lowe,TBR,1.7
Victor Scott II,STL,1.7
Sandy Alcantara,MIA,1.7
Alec Bohm,PHI,1.7
Jeffrey Springs,ATH,1.7
Spencer Horwitz,PIT,1.7
Sean Newcomb,BOS,1.7
Logan Allen,CLE,1.7
Grant Taylor,CHW,1.7
Stephen Kolek,SDP,1.7
Gabe Speier,SEA,1.7
Wenceel Pérez,DET,1.7
Griffin Jax,MIN,1.7
Jack Dreyer,LAD,1.7
Abner Uribe,MIL,1.7
Josh Jung,TEX,1.7
Austin Riley,ATL,1.7
Brandon Pfaadt,ARI,1.7
Carmen Mlodzinski,PIT,1.6
Colt Keith,DET,1.6
Tyler Glasnow,LAD,1.6
Edmundo Sosa,PHI,1.6
Graham Ashcraft,CIN,1.6
Steven Okert,HOU,1.6
Oneil Cruz,PIT,1.6
Braxton Ashcraft,PIT,1.6
Yainer Diaz,HOU,1.6
Pedro Pagés,STL,1.6
Luke Keaschall,MIN,1.6
Trevor Megill,MIL,1.6
Matt Strahm,PHI,1.5
Phil Maton,STL,1.5
Justin Wrobleski,LAD,1.5
Miguel Rojas,LAD,1.5
Kerry Carpenter,DET,1.5
Joey Cantillo,CLE,1.5
Tylor Megill,NYM,1.5
Vinnie Pasquantino,KCR,1.5
Dominic Canzone,SEA,1.5
Bo Naylor,CLE,1.5
Zack Littell,TBR,1.5
Romy Gonzalez,BOS,1.5
Matt Shaw,CHC,1.4
Luis Torrens,NYM,1.4
Gavin Williams,CLE,1.4
Randy Rodríguez,SFG,1.4
Jared Triolo,PIT,1.4
Evan Carter,TEX,1.4
Javier Báez,DET,1.4
Nolan Schanuel,LAA,1.4
Daylen Lile,WSN,1.4
Kodai Senga,NYM,1.4
Matt McLain,CIN,1.4
Ke'Bryan Hayes,PIT,1.4
Mike Tauchman,CHW,1.4
Cade Povich,BAL,1.4
Kyle Leahy,STL,1.4
Jose A. Ferrer,WSN,1.4
Reese Olson,DET,1.4
Chase Burns,CIN,1.4
Eric Lauer,TOR,1.4
Michael Harris II,ATL,1.4
Zebby Matthews,MIN,1.4
Matt Wallner,MIN,1.4
Joey Ortiz,MIL,1.4
Devin Williams,NYY,1.4
Shawn Armstrong,TEX,1.4
Lenyn Sosa,CHW,1.3
